disease,specialty,_disease_key,alternate_specialty,mapping_confidence,mapping_status,source_organization,source_url,source_type,requires_emergency_triage,mapping_note
Heart Failure,Cardiologist,heart failure,,High,retained,American Heart Association (AHA),https://www.heart.org/en/health-topics/consumer-healthcare/answers-by-heart-fact-sheets/answers-by-heart-fact-sheets-cardiovascular-conditions,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Hypertension,Cardiologist,hypertension,Internal Medicine,Medium,retained_with_caveat,American Heart Association (AHA),https://www.heart.org/en/health-topics/consumer-healthcare/answers-by-heart-fact-sheets/answers-by-heart-fact-sheets-cardiovascular-conditions,authoritative professional/clinical reference,no,General internal medicine often manages uncomplicated hypertension; cardiology is appropriate for complex cardiovascular disease.
Mitral Regurgitation,Cardiologist,mitral regurgitation,,High,retained,American Heart Association (AHA),https://www.heart.org/en/health-topics/consumer-healthcare/answers-by-heart-fact-sheets/answers-by-heart-fact-sheets-cardiovascular-conditions,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Pericardial Effusion,Cardiologist,pericardial effusion,,High,retained,American Heart Association (AHA),https://www.heart.org/en/health-topics/consumer-healthcare/answers-by-heart-fact-sheets/answers-by-heart-fact-sheets-cardiovascular-conditions,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Sinus Tachycardia,Cardiologist,sinus tachycardia,,High,retained,American Heart Association (AHA),https://www.heart.org/en/health-topics/consumer-healthcare/answers-by-heart-fact-sheets/answers-by-heart-fact-sheets-cardiovascular-conditions,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Tricuspid Regurgitation,Cardiologist,tricuspid regurgitation,,High,retained,American Heart Association (AHA),https://www.heart.org/en/health-topics/consumer-healthcare/answers-by-heart-fact-sheets/answers-by-heart-fact-sheets-cardiovascular-conditions,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Acne,Dermatologist,acne,,High,retained,American Academy of Dermatology (AAD),https://www.aad.org/public/diseases,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Cellulitis,Dermatologist,cellulitis,Infectious Disease,Medium,retained_with_caveat,American Academy of Dermatology (AAD),https://www.aad.org/public/diseases,authoritative professional/clinical reference,no,"Dermatology is reasonable for a skin-centered classifier, but infectious disease/general medicine often manages acute cellulitis."
Chicken Pox,Dermatologist,chicken pox,Infectious Disease,Medium,retained_with_caveat,American Academy of Dermatology (AAD),https://www.aad.org/public/diseases,authoritative professional/clinical reference,no,Dermatology can evaluate the rash; infectious disease/general medicine may manage the infection.
Eczema,Dermatologist,eczema,,High,retained,American Academy of Dermatology (AAD),https://www.aad.org/public/diseases,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Exanthema,Dermatologist,exanthema,,High,retained,American Academy of Dermatology (AAD),https://www.aad.org/public/diseases,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Fungal Infection,Dermatologist,fungal infection,Infectious Disease,Medium,retained_with_caveat,American Academy of Dermatology (AAD),https://www.aad.org/public/diseases,authoritative professional/clinical reference,no,Dermatology is appropriate for superficial fungal disease; systemic fungal disease belongs to infectious disease.
Impetigo,Dermatologist,impetigo,,High,retained,American Academy of Dermatology (AAD),https://www.aad.org/public/diseases,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Psoriasis,Dermatologist,psoriasis,,High,retained,American Academy of Dermatology (AAD),https://www.aad.org/public/diseases,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Rosacea,Dermatologist,rosacea,,High,retained,American Academy of Dermatology (AAD),https://www.aad.org/public/diseases,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Shingles,Dermatologist,shingles,Infectious Disease,Medium,retained_with_caveat,American Academy of Dermatology (AAD),https://www.aad.org/public/diseases,authoritative professional/clinical reference,no,Dermatology commonly manages cutaneous herpes zoster; infectious disease may be involved in severe/immunocompromised cases.
Cushing Syndrome,Endocrinologist,cushing syndrome,,High,retained,Endocrine Society,https://www.endocrine.org/clinical-practice-guidelines,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Diabetes,Endocrinologist,diabetes,,High,retained,Endocrine Society,https://www.endocrine.org/clinical-practice-guidelines,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Diabetic Ketoacidosis,Endocrinologist,diabetic ketoacidosis,Emergency Medicine; Internal Medicine,High,retained_with_caveat,Endocrine Society,https://www.endocrine.org/clinical-practice-guidelines,authoritative professional/clinical reference,yes,DKA is an acute emergency; endocrinology is the disease specialty after stabilization.
Hyperthyroidism,Endocrinologist,hyperthyroidism,,High,retained,Endocrine Society,https://www.endocrine.org/clinical-practice-guidelines,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Hypoglycemia,Endocrinologist,hypoglycemia,,High,retained,Endocrine Society,https://www.endocrine.org/clinical-practice-guidelines,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Hypothyroidism,Endocrinologist,hypothyroidism,,High,retained,Endocrine Society,https://www.endocrine.org/clinical-practice-guidelines,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Morbid Obesity,Endocrinologist,morbid obesity,,High,retained,Endocrine Society,https://www.endocrine.org/clinical-practice-guidelines,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Obesity,Endocrinologist,obesity,,High,retained,Endocrine Society,https://www.endocrine.org/clinical-practice-guidelines,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Polycystic Ovary Syndrome,Endocrinologist,polycystic ovary syndrome,Gynecologist,High,retained_with_caveat,Endocrine Society,https://www.endocrine.org/patient-engagement/endocrine-library/pcos,authoritative professional/clinical reference,no,PCOS is both endocrine and gynecologic; endocrinology is retained as primary to match the hormonal/metabolic classifier pathway.
Colitis,Gastroenterologist,colitis,,High,retained,American College of Gastroenterology (ACG),https://gi.org/guidelines/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Crohn Disease,Gastroenterologist,crohn disease,,High,retained,American College of Gastroenterology (ACG),https://gi.org/guidelines/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Dimorphic Hemorrhoids,Gastroenterologist,dimorphic hemorrhoids,General Surgeon / Colorectal Surgeon,Medium,retained_with_caveat,American College of Gastroenterology (ACG),https://gi.org/guidelines/,authoritative professional/clinical reference,no,Gastroenterology can evaluate rectal bleeding and hemorrhoidal disease; surgical care may be required.
Diverticulitis,Gastroenterologist,diverticulitis,,High,retained,American College of Gastroenterology (ACG),https://gi.org/guidelines/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Diverticulosis,Gastroenterologist,diverticulosis,,High,retained,American College of Gastroenterology (ACG),https://gi.org/guidelines/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Gastritis,Gastroenterologist,gastritis,,High,retained,American College of Gastroenterology (ACG),https://gi.org/guidelines/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Gastroenteritis,Gastroenterologist,gastroenteritis,,High,retained,American College of Gastroenterology (ACG),https://gi.org/guidelines/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
GERD,Gastroenterologist,gerd,,High,retained,American College of Gastroenterology (ACG),https://gi.org/guidelines/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Hiatal Hernia,Gastroenterologist,hiatal hernia,General Surgeon,Medium,corrected,American College of Gastroenterology (ACG),https://gi.org/guidelines/,authoritative professional/clinical reference,no,Initial evaluation and medical management are gastroenterology; surgery is considered when indicated.
Irritable Bowel Syndrome,Gastroenterologist,irritable bowel syndrome,,High,retained,American College of Gastroenterology (ACG),https://gi.org/guidelines/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Pancreatitis,Gastroenterologist,pancreatitis,,High,retained,American College of Gastroenterology (ACG),https://gi.org/guidelines/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Peptic Ulcer Disease,Gastroenterologist,peptic ulcer disease,,High,retained,American College of Gastroenterology (ACG),https://gi.org/guidelines/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Abdominal Adhesions,General Surgeon,abdominal adhesions,,High,retained,American College of Surgeons (ACS),https://www.facs.org/for-patients/the-day-of-your-surgery/operation-brochures-for-patients/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Cholecystitis,General Surgeon,cholecystitis,,High,retained,American College of Surgeons (ACS),https://www.facs.org/for-patients/the-day-of-your-surgery/cholecystectomy/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Cholelithiasis,General Surgeon,cholelithiasis,,High,retained,American College of Surgeons (ACS),https://www.facs.org/for-patients/the-day-of-your-surgery/cholecystectomy/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Hernia,General Surgeon,hernia,,High,retained,American College of Surgeons (ACS),https://www.facs.org/for-patients/the-day-of-your-surgery/operation-brochures-for-patients/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Ileus,General Surgeon,ileus,,High,retained,American College of Surgeons (ACS),https://www.facs.org/for-patients/the-day-of-your-surgery/operation-brochures-for-patients/,authoritative professional/clinical reference,yes,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Endometriosis,Gynecologist,endometriosis,,High,retained,American College of Obstetricians and Gynecologists (ACOG),https://www.acog.org/womens-health/faqs/endometriosis,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Ovarian Cyst,Gynecologist,ovarian cyst,,High,retained,American College of Obstetricians and Gynecologists (ACOG),https://www.acog.org/womens-health/faqs/ovarian-cysts,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Uterine Fibroids,Gynecologist,uterine fibroids,,High,retained,American College of Obstetricians and Gynecologists (ACOG),https://www.acog.org/womens-health,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Anemia,Hematologist,anemia,,High,retained,American Society of Hematology (ASH),https://www.hematology.org/education/patients/anemia,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Lymphoma,Hematologist,lymphoma,Oncologist,High,retained_with_caveat,American Society of Hematology (ASH),https://www.hematology.org/education/patients/blood-cancers/lymphoma,authoritative professional/clinical reference,no,Lymphoma is a hematologic cancer commonly managed by hematology/oncology.
Pancytopenia,Hematologist,pancytopenia,,High,retained,American Society of Hematology (ASH),https://www.hematology.org/education/Patients,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Sickle Cell Anemia,Hematologist,sickle cell anemia,,High,retained,American Society of Hematology (ASH),https://www.hematology.org/education/patients/anemia/sickle-cell-disease,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Thrombocytopenia,Hematologist,thrombocytopenia,,High,retained,American Society of Hematology (ASH),https://www.hematology.org/education/Patients,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Alcoholic Hepatitis,Hepatologist,alcoholic hepatitis,,High,retained,American Association for the Study of Liver Diseases (AASLD),https://www.aasld.org/practice-guidelines/alcohol-associated-liver-disease,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Chronic Cholestasis,Hepatologist,chronic cholestasis,,High,retained,American Association for the Study of Liver Diseases (AASLD),https://www.aasld.org/practice-guidelines,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Hepatitis A,Hepatologist,hepatitis a,,High,retained,American Association for the Study of Liver Diseases (AASLD),https://www.aasld.org/practice-guidelines,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Hepatitis B,Hepatologist,hepatitis b,,High,retained,American Association for the Study of Liver Diseases (AASLD),https://www.aasld.org/practice-guidelines/hepatitis-b,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Hepatitis C,Hepatologist,hepatitis c,,High,retained,American Association for the Study of Liver Diseases (AASLD),https://www.aasld.org/practice-guidelines/hepatitis-c,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Hepatitis D,Hepatologist,hepatitis d,,High,retained,American Association for the Study of Liver Diseases (AASLD),https://www.aasld.org/practice-guidelines,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Hepatitis E,Hepatologist,hepatitis e,,High,retained,American Association for the Study of Liver Diseases (AASLD),https://www.aasld.org/practice-guidelines,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Jaundice,Hepatologist,jaundice,Gastroenterologist; Internal Medicine,Medium,corrected,American Association for the Study of Liver Diseases (AASLD),https://www.aasld.org/practice-guidelines,authoritative professional/clinical reference,no,Jaundice is a sign rather than a single disease; hepatology is selected when hepatobiliary disease is suspected.
Liver Cirrhosis,Hepatologist,liver cirrhosis,,High,retained,American Association for the Study of Liver Diseases (AASLD),https://www.aasld.org/practice-guidelines,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
AIDS,Infectious Disease,aids,,High,retained,Infectious Diseases Society of America (IDSA),https://www.idsociety.org/practice-guideline/all-practice-guidelines/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Bacteremia,Infectious Disease,bacteremia,,High,retained,Infectious Diseases Society of America (IDSA),https://www.idsociety.org/practice-guideline/all-practice-guidelines/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Candidiasis,Infectious Disease,candidiasis,Dermatologist; Gynecologist,Medium,retained_with_caveat,Infectious Diseases Society of America (IDSA),https://www.idsociety.org/practice-guideline/all-practice-guidelines/,authoritative professional/clinical reference,no,Specialty depends on infection site; infectious disease is most appropriate for invasive/systemic candidiasis.
COVID-19,Infectious Disease,covid-19,Internal Medicine; Pulmonologist,Medium,retained_with_caveat,Infectious Diseases Society of America (IDSA),https://www.idsociety.org/practice-guideline/all-practice-guidelines/,authoritative professional/clinical reference,no,Most uncomplicated disease is not specialty-only; infectious disease is retained for infection-focused classification.
Dengue,Infectious Disease,dengue,,High,retained,Infectious Diseases Society of America (IDSA),https://www.idsociety.org/practice-guideline/all-practice-guidelines/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Endocarditis,Infectious Disease,endocarditis,,High,retained,Infectious Diseases Society of America (IDSA),https://www.idsociety.org/practice-guideline/all-practice-guidelines/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Influenza,Infectious Disease,influenza,Internal Medicine,Medium,retained_with_caveat,Infectious Diseases Society of America (IDSA),https://www.idsociety.org/practice-guideline/all-practice-guidelines/,authoritative professional/clinical reference,no,Routine influenza is generally managed in primary/general medicine; infectious disease is retained for severe/complex infection classification.
Malaria,Infectious Disease,malaria,,High,retained,Infectious Diseases Society of America (IDSA),https://www.idsociety.org/practice-guideline/all-practice-guidelines/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Meningitis,Infectious Disease,meningitis,Neurologist,High,corrected,Infectious Diseases Society of America (IDSA),https://www.idsociety.org/practice-guideline/all-practice-guidelines/,authoritative professional/clinical reference,yes,"Infectious meningitis is primarily an infectious-disease problem, with neurology often involved for neurologic complications."
Sepsis,Infectious Disease,sepsis,Internal Medicine; Critical Care,Medium,corrected,Infectious Diseases Society of America (IDSA),https://www.idsociety.org/practice-guideline/all-practice-guidelines/,authoritative professional/clinical reference,yes,Sepsis requires urgent hospital care; infectious disease is used only as the classifier specialty label.
Typhoid,Infectious Disease,typhoid,,High,retained,Infectious Diseases Society of America (IDSA),https://www.idsociety.org/practice-guideline/all-practice-guidelines/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Common Cold,Internal Medicine,common cold,Otolaryngologist,High,corrected,American College of Physicians (ACP),https://www.acponline.org/about-acp/about-internal-medicine/what-is-an-internal-medicine-physician-or-internist,authoritative professional/clinical reference,no,Uncomplicated viral upper-respiratory illness is generally managed in primary/general internal medicine rather than ENT.
Dehydration,Internal Medicine,dehydration,,High,retained,American College of Physicians (ACP),https://www.acponline.org/about-acp/about-internal-medicine/what-is-an-internal-medicine-physician-or-internist,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Fluid Overload,Internal Medicine,fluid overload,Nephrologist; Cardiologist,Medium,retained_with_caveat,American College of Physicians (ACP),https://www.acponline.org/about-acp/about-internal-medicine/what-is-an-internal-medicine-physician-or-internist,authoritative professional/clinical reference,no,Fluid overload is etiologically broad; internal medicine is retained for undifferentiated presentation.
Acute Kidney Injury,Nephrologist,acute kidney injury,,High,retained,National Kidney Foundation (NKF),https://www.kidney.org/kidney-topics/acute-kidney-injury-aki,authoritative professional/clinical reference,yes,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Chronic Kidney Disease,Nephrologist,chronic kidney disease,Internal Medicine,High,corrected,National Kidney Foundation (NKF),https://www.kidney.org/kidney-topics,authoritative professional/clinical reference,no,Kidney disease is the direct scope of nephrology; general internal medicine may manage early CKD.
Glomerulonephritis,Nephrologist,glomerulonephritis,,High,retained,National Kidney Foundation (NKF),https://www.kidney.org/kidney-topics/glomerulonephritis,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Kidney Failure,Nephrologist,kidney failure,,High,retained,National Kidney Foundation (NKF),https://www.kidney.org/kidney-topics,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Nephrotic Syndrome,Nephrologist,nephrotic syndrome,,High,retained,National Kidney Foundation (NKF),https://www.kidney.org/kidney-topics/nephrotic-syndrome,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Alzheimer Disease,Neurologist,alzheimer disease,,High,retained,National Institute of Neurological Disorders and Stroke (NINDS),https://www.ninds.nih.gov/health-information/disorders,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Encephalopathy,Neurologist,encephalopathy,,High,retained,National Institute of Neurological Disorders and Stroke (NINDS),https://www.ninds.nih.gov/health-information/disorders,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Epilepsy,Neurologist,epilepsy,,High,retained,National Institute of Neurological Disorders and Stroke (NINDS),https://www.ninds.nih.gov/health-information/disorders,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Hemiparesis,Neurologist,hemiparesis,,High,retained,National Institute of Neurological Disorders and Stroke (NINDS),https://www.ninds.nih.gov/health-information/disorders,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Migraine,Neurologist,migraine,,High,retained,National Institute of Neurological Disorders and Stroke (NINDS),https://www.ninds.nih.gov/Disorders/All-Disorders/Migraine-Information-Page,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Multiple Sclerosis,Neurologist,multiple sclerosis,,High,retained,National Institute of Neurological Disorders and Stroke (NINDS),https://www.ninds.nih.gov/health-information/disorders/multiple-sclerosis-ms,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Paralysis,Neurologist,paralysis,,High,retained,National Institute of Neurological Disorders and Stroke (NINDS),https://www.ninds.nih.gov/health-information/disorders,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Parkinson Disease,Neurologist,parkinson disease,,High,retained,National Institute of Neurological Disorders and Stroke (NINDS),https://www.ninds.nih.gov/health-information/disorders,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Transient Ischemic Attack,Neurologist,transient ischemic attack,,High,retained,National Institute of Neurological Disorders and Stroke (NINDS),https://www.ninds.nih.gov/health-information/disorders,authoritative professional/clinical reference,yes,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Breast Cancer,Oncologist,breast cancer,,High,retained,American Cancer Society (ACS),https://www.cancer.org/cancer/preparing-for-treatment/choosing-a-cancer-doctor.html,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Colorectal Cancer,Oncologist,colorectal cancer,,High,retained,American Cancer Society (ACS),https://www.cancer.org/cancer/preparing-for-treatment/choosing-a-cancer-doctor.html,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Liver Cancer,Oncologist,liver cancer,Hepatologist,High,retained_with_caveat,American Cancer Society (ACS),https://www.cancer.org/cancer/preparing-for-treatment/choosing-a-cancer-doctor.html,authoritative professional/clinical reference,no,"Cancer treatment is oncology-led, commonly with hepatology and surgery in a multidisciplinary team."
Lung Cancer,Oncologist,lung cancer,,High,retained,American Cancer Society (ACS),https://www.cancer.org/cancer/preparing-for-treatment/choosing-a-cancer-doctor.html,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Cataract,Ophthalmologist,cataract,,High,retained,American Academy of Ophthalmology (AAO),https://www.aao.org/practice-management/patient-education/patient-education-basics,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Conjunctivitis,Ophthalmologist,conjunctivitis,,High,retained,American Academy of Ophthalmology (AAO),https://www.aao.org/practice-management/patient-education/patient-education-basics,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Glaucoma,Ophthalmologist,glaucoma,,High,retained,American Academy of Ophthalmology (AAO),https://www.aao.org/practice-management/patient-education/patient-education-basics,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Bone Infection,Orthopedic,bone infection,Infectious Disease,Medium,retained_with_caveat,American Academy of Orthopaedic Surgeons (AAOS),https://orthoinfo.aaos.org/,authoritative professional/clinical reference,no,Osteomyelitis commonly requires combined orthopedic and infectious-disease management.
Cervical Spondylosis,Orthopedic,cervical spondylosis,Neurologist,High,corrected,American Academy of Orthopaedic Surgeons (AAOS),https://orthoinfo.aaos.org/,authoritative professional/clinical reference,no,Degenerative cervical-spine disease is a musculoskeletal/spine condition; neurology may be involved when neurologic deficits predominate.
Fracture,Orthopedic,fracture,,High,retained,American Academy of Orthopaedic Surgeons (AAOS),https://orthoinfo.aaos.org/en/diseases--conditions/fractures-broken-bones/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Osteoarthritis,Orthopedic,osteoarthritis,,High,retained,American Academy of Orthopaedic Surgeons (AAOS),https://orthoinfo.aaos.org/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Osteoporosis,Orthopedic,osteoporosis,Endocrinologist; Rheumatologist,Medium,retained_with_caveat,American Academy of Orthopaedic Surgeons (AAOS),https://orthoinfo.aaos.org/globalassets/pdfs/osteoporosis.pdf,authoritative professional/clinical reference,no,Orthopedics manages fractures and skeletal consequences; metabolic bone specialists may lead medical treatment.
Deglutition Disorder,Otolaryngologist,deglutition disorder,,High,retained,ENT Health / AAO-HNS,https://www.enthealth.org/conditions/dysphagia/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Otitis Media,Otolaryngologist,otitis media,,High,retained,American Academy of Otolaryngology–Head and Neck Surgery / ENT Health,https://www.enthealth.org/conditions-treatments-a-z/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Paroxysmal Positional Vertigo,Otolaryngologist,paroxysmal positional vertigo,,High,retained,American Academy of Otolaryngology–Head and Neck Surgery / ENT Health,https://www.enthealth.org/conditions-treatments-a-z/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
Sinusitis,Otolaryngologist,sinusitis,,High,retained,ENT Health / AAO-HNS,https://www.enthealth.org/conditions/sinusitis/,authoritative professional/clinical reference,no,Primary specialty selected from authoritative specialty-scope references for single-label classifier training.
